competitor_domain,keywords_common,keywords_competitor,keywords_target,share,traffic,domain_rating,pages
pagsfera.com.br,535,3220,1365,14.2,67657,66.0,621
vendamais.com.br,395,2853,1505,12.2,27172,61.0,908
dinheirocerto.com.br,370,1492,1530,19.9,172192,69.0,408
contazen.com.br,358,3610,1542,9.0,27551,71.0,836
taxaja.com.br,328,335,1572,49.5,2091,24.0,16
bancoquantum.com.br,323,2905,1577,10.0,196346,84.0,296
bancoaurora.com.br,297,2284,1603,11.5,66013,72.0,358
nexopay.com.br,294,819,1606,26.4,21361,43.0,416
lojafacil.com.br,275,1967,1625,12.3,34472,54.0,662
giroloja.com.br,227,2297,1673,9.0,8858,38.0,599
contadorexpress.com.br,222,2612,1678,7.8,26744,49.0,630
financasclaras.blog.br,191,655,1709,22.6,12717,29.0,40
maquinacerta.net,147,194,1753,43.1,10448,11.0,17
credlink.com.br,106,1737,1794,5.8,12151,46.0,284
