domain,keyword,volume,keyword_difficulty,cpc,sum_traffic,best_position,best_position_kind,best_position_url,is_branded,is_commercial,is_informational,is_navigational,is_transactional,is_local,serp_features,words,status
dinheirocerto.com.br,calculadora de salario liquido,89000,52,8,31007,1,organic,https://dinheirocerto.com.br/calculadoras/salario-liquido,False,False,True,False,True,False,,4,both
bancoquantum.com.br,banco quantum,74000,6,12,26237,1,organic,https://bancoquantum.com.br/,True,True,False,True,False,False,,2,both
pagsfera.com.br,maquininha pagsfera,52000,8,60,17685,1,organic,https://pagsfera.com.br/maquininhas,True,True,False,False,False,False,,2,both
dinheirocerto.com.br,calculadora de ferias,42000,48,5,11499,1,organic,https://dinheirocerto.com.br/calculadoras/ferias,False,False,True,False,True,False,,3,both
bancoaurora.com.br,banco aurora,46000,7,14,10794,1,organic,https://bancoaurora.com.br/,True,True,False,True,False,False,,2,both
dinheirocerto.com.br,calculadora decimo terceiro,38000,45,4,10369,1,organic,https://dinheirocerto.com.br/calculadoras/decimo-terceiro,False,False,True,False,True,False,,3,both
dinheirocerto.com.br,calculadora de porcentagem,33000,3,1,8643,1,organic,https://dinheirocerto.com.br/ferramentas/porcentagem,False,False,True,False,True,False,snippet,3,both
bancoquantum.com.br,consultar emprestimo quantum,28000,9,30,7122,1,organic,https://bancoquantum.com.br/hotsite/consultar-emprestimo,True,False,False,True,True,False,,3,left
contazen.com.br,calculadora de salario liquido,89000,52,8,6916,4,organic,https://contazen.com.br/calculadoras/salario-liquido,False,False,True,False,True,False,,4,both
pagsfera.com.br,pagsfera login,31000,4,5,6613,1,organic,https://pagsfera.com.br/login,True,False,False,True,False,False,snippet,2,left
bancoquantum.com.br,internet banking quantum,22000,7,8,6417,1,organic,https://bancoquantum.com.br/canais-digitais/internet-banking,True,False,False,True,False,False,snippet,3,left
vendamais.com.br,gerador de qr code,22000,2,3,6083,1,organic,https://vendamais.com.br/ferramentas/gerador-qr-code,False,False,True,False,True,False,snippet,4,both
lojafacil.com.br,conversor de pdf,27000,2,5,6011,1,organic,https://lojafacil.com.br/ferramentas/conversor-pdf,False,False,True,False,True,False,snippet,3,both
dinheirocerto.com.br,conversor de moeda,27000,3,4,4906,2,organic,https://dinheirocerto.com.br/ferramentas/conversor-de-moeda,False,False,True,False,True,False,,3,both
bancoquantum.com.br,quantum 2 via boleto,19000,3,2,4798,1,organic,https://bancoquantum.com.br/2-via-boleto,True,False,False,True,False,False,snippet,4,both
dinheirocerto.com.br,cronometro online,19000,2,1,4548,1,organic,https://dinheirocerto.com.br/ferramentas/cronometro,False,False,True,False,True,False,snippet,2,both
dinheirocerto.com.br,calculadora de dias uteis,14000,2,1,4267,1,organic,https://dinheirocerto.com.br/ferramentas/dias-uteis,False,False,True,False,True,False,snippet,4,both
bancoaurora.com.br,aurora conta pj,14000,5,38,4003,1,organic,https://bancoaurora.com.br/conta-pj,True,True,False,True,False,False,snippet,3,both
nexopay.com.br,como gerar boleto,11000,21,6,3582,1,organic,https://nexopay.com.br/blog/como-gerar-boleto,False,False,True,False,False,False,,3,both
pagsfera.com.br,maquininha de cartao,40000,41,58,3470,3,organic,https://pagsfera.com.br/maquininhas,False,True,True,False,False,False,,3,both
bancoquantum.com.br,gerar boleto quantum,9400,2,1,3234,1,organic,https://bancoquantum.com.br/ajuda/gerar-boleto,True,False,True,False,False,False,,3,both
