domain,url,sum_traffic,value,keywords,top_keyword,top_keyword_volume,top_keyword_best_position,top_keyword_best_position_kind,top_keyword_best_position_title,page_type,ur,referring_domains,status,traffic_diff,keywords_diff
bancoquantum.com.br,https://bancoquantum.com.br/,136962,1154879,25,banco quantum,74000,1,organic,Banco quantum: passo a passo,,57,8127,both,99939,16
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/salario-liquido,68113,545699,36,calculadora de salario liquido,89000,1,organic,Calculadora de salario liquido: guia completo,/Interactive_Tools/Calculator,35,160,both,4003,-6
bancoaurora.com.br,https://bancoaurora.com.br/,49296,690796,48,banco aurora,46000,1,organic,Banco aurora - Bancoaurora,,59,8886,both,13197,23
pagsfera.com.br,https://pagsfera.com.br/maquininhas,37392,1660489,76,maquininha pagsfera,52000,1,organic,Maquininha pagsfera - Pagsfera,,22,12,both,-7355,8
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/ferias,21385,75761,58,calculadora de ferias,42000,1,organic,Tudo sobre Calculadora de ferias,/Interactive_Tools/Calculator,31,129,both,17731,0
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/porcentagem,15169,20120,29,calculadora de porcentagem,33000,1,organic,Calculadora de porcentagem: guia completo,/Interactive_Tools/Calculator,31,53,both,4686,25
lojafacil.com.br,https://lojafacil.com.br/ferramentas/conversor-pdf,14604,88585,27,conversor de pdf,27000,1,organic,Conversor de pdf: passo a passo,,25,22,both,275,25
bancoquantum.com.br,https://bancoquantum.com.br/hotsite/consultar-emprestimo,14341,442352,35,consultar emprestimo quantum,28000,1,organic,Consultar emprestimo quantum: 7 dicas praticas,,23,11,left,697,9
bancoquantum.com.br,https://bancoquantum.com.br/canais-digitais/internet-banking,14330,145875,11,internet banking quantum,22000,1,organic,Internet banking quantum: guia completo,,26,27,left,-2764,28
pagsfera.com.br,https://pagsfera.com.br/login,13208,43942,57,pagsfera login,31000,1,organic,Pagsfera login: guia completo,,17,8,left,-1891,5
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/decimo-terceiro,12128,58195,18,calculadora decimo terceiro,38000,1,organic,O que e Calculadora decimo terceiro e como usar,/Interactive_Tools/Calculator,32,72,both,826,25
bancoquantum.com.br,https://bancoquantum.com.br/2-via-boleto,11963,16412,23,quantum 2 via boleto,19000,1,organic,Quantum 2 via boleto: 7 dicas praticas,,18,8,both,8690,11
contazen.com.br,https://contazen.com.br/calculadoras/salario-liquido,11644,123418,25,calculadora de salario liquido,89000,4,organic,Calculadora de salario liquido - Contazen,/Interactive_Tools/Calculator,30,63,both,8325,31
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/conversor-de-moeda,10878,59665,33,conversor de moeda,27000,2,organic,O que e Conversor de moeda e como usar,,27,28,both,8232,29
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/dias-uteis,10706,12723,34,calculadora de dias uteis,14000,1,organic,Tudo sobre Calculadora de dias uteis,,25,36,both,-1388,-7
vendamais.com.br,https://vendamais.com.br/ferramentas/gerador-qr-code,10513,24834,27,gerador de qr code,22000,1,organic,Gerador de qr code: passo a passo,/Interactive_Tools/Calculator,24,23,both,-2411,23
bancoaurora.com.br,https://bancoaurora.com.br/conta-pj,9380,327404,54,aurora conta pj,14000,1,organic,Aurora conta pj | Bancoaurora,,23,17,both,2497,12
contadorexpress.com.br,https://contadorexpress.com.br/blog/das-mei,7065,22926,32,das mei valor,19000,2,organic,Das mei valor: guia completo,,19,13,left,-112,33
pagsfera.com.br,https://pagsfera.com.br/taxas,7026,224848,37,pagsfera taxas,8700,1,organic,Pagsfera taxas | Pagsfera,,24,26,left,-280,34
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/cronometro,6923,8897,49,cronometro online,19000,1,organic,Cronometro online: passo a passo,/Interactive_Tools/Calculator,31,60,both,318,-8
